favourites_count,friendList,friendsCount,hashtags,imageurl,lang,parentID,retweetCount,retweeted,tweetCreatedAt,tweetId,tweetText,userCreatedAt,userDescription,userFollowersCount,userID,userLocation,userName
413,"[[2154720088, 939502202472812544, 24290265, 750728611, 2882696909, 22786508, 2330383178, 1093319220, 1367565085, 870054041237291008, 851474090472873984, 877165837978710016, 234057437, 877672267626430464, 2621582513, 2182994245, 2934136000, 124086720, 1198447500, 722294210322243584, 14886615, 15757826, 504040356, 365720964, 16460050, 177547610, 470465255, 2367892728, 19666958, 2403489736, 47866190, 3255882092, 1556677555, 2665916707, 92186819, 859138271930134528, 3292030347, 172493605, 848745566, 3063517789, 467924781, 275702899, 15202187, 3948964101, 407610686, 339970807, 425879551, 408792295, 371149502, 525984544, 214508221, 519818299, 3131050906, 403191689, 1551821041, 3230084226, 3346529211, 4639961902, 1343607302, 178316031, 740948720133378048, 113778086, 805519394, 879161563, 308718852, 35830238, 507761659, 201526520, 31205448, 743161638371500032, 1344412860, 19040378, 272392103, 4691016884, 20272531, 1335394730, 1071102246, 334894942, 823565852922576897, 961589635, 268406927, 3240143771, 29201047, 3089026545, 72186568, 3040001928, 1580467730, 127950266, 3519750313, 323869695, 78182168, 2470812752, 64862896, 39346859, 3236975826, 27262580, 3010780784, 19725644, 99297884, 1597297232, 235333481, 38489678, 20485298, 2458567464, 848299968, 2775264105, 57195772, 232696664, 3043478259, 3008297016, 44957814, 18742667, 21134127, 2434095584, 246961837, 4438368252, 18767537, 31104638, 733793239455633408, 608176002, 3983400914, 723227966159740929, 2182642586, 222336970, 408164435, 708108483023872000, 2483843732, 3047729929, 2880131875, 2959154136, 41541697, 2959176684, 34115195, 2869312080, 1060596222, 87762137, 4879937679, 97476334, 3281500212, 2849338885, 362664300, 3059201327, 4708144235, 253706957, 2435443049, 629474079, 15490662, 18995166, 2230684309, 3321393555, 172012842, 95972239, 15291202, 216896461, 119646271, 360107453, 243363360, 23771696, 101970219, 1350888488, 2913866712, 3741235217, 33084796, 19435217, 16632227, 3512981297, 1624732933, 422757524, 272141779, 3076171068, 25954796, 1399411016, 3299729877, 633880382, 397643144, 3105535998, 1053825037, 1425877609, 2909512497, 1132553527, 140239280, 76430569, 18481429, 189222602, 26903206, 44783853, 53039176, 138580724, 351712476, 599279600, 44673274, 146569971, 15134240, 19679586, 89793645, 64842699, 44172752, 15458277, 34737900]]",199,"['vaping', 'JUUL']",http://pbs.twimg.com/profile_images/1525644608/chipperbutton_normal.jpg,en,None,1,False,2018-04-28 01:32:14,990040965070008320,RT @Dr_Mark_R discusses #vaping &amp; #JUUL on @KQEDNewsroom at 7 pm tonight. @ucsfhealth @MikeAndersonMD @UCSFNurse @UCSFpedsPulm @ProfGlantz @UCSF_IHPS @FoCoHog https://t.co/RSL1OHYUXt,2011-07-07 23:48:10,The CHIPPER’s mission is to improve general pediatrics outcomes through evidence-based practice and provider education at UCSF Benioff Children's Hospital.,327,331304068,"San Francisco, CA",UCSF CHIPPER
17820,"[[929927871698817024, 4194889438, 325306055, 23617610, 977025956861837312, 866953267, 65860206, 118359373, 276254736, 848117436528435201, 145960365, 24919888, 18164420, 73171449, 2987890360, 259504089, 4198885578, 603430695, 826983297272180737, 892743718691897344, 1631128196, 846392998103437312, 63420653, 910881120165728257, 24186319, 14693499, 453721580, 874654606495797248, 601066439, 21111883, 82939583, 19278548, 1158877867, 764655802783297536, 1476502188, 37762233, 141716629, 6026342, 41055396, 44794040, 24382752, 603052714, 41265813, 45900567, 256409561, 25108484, 1319921, 21305757, 9636292, 23136007, 46669403, 19073101, 34738598, 15651878, 1379587099, 239861959, 90976827, 27765756, 17074714, 158014897, 75449249, 1604925254, 1536803918, 2310900562, 291547392, 31328425, 369238299, 910986360550576128, 802849646653669376, 271286418, 21674554, 2748585072, 1546168308, 166309839, 3954316332, 153966123, 621838346, 191349784, 1653709256, 721363744052416514, 740388183699947524, 1959621325, 723289796022390789, 542877876, 2748302496, 2492067702, 830173154769252352, 2988555551, 2488471680, 31869934, 901453142176526338, 2600968118, 732027915894824960, 15109904, 247104369, 147994758, 922489854, 2793634636, 843240956531036160, 842420148816482305, 843504550375911425, 835641607206678528, 267305045, 3149010148, 3271537879, 79293791, 3281373643, 37972440, 473498440, 2405943198, 1870086409, 4794754815, 154280902, 878357697221079043, 581301629, 259435698, 291428614, 778620850413142016, 2496624110, 240884573, 2201883718, 2929506926, 250080819, 1735406576, 20545055, 3165886640, 22652957, 16697350, 733057830, 18912121, 90686539, 23818581, 76770126, 330562657, 19294897, 956763870, 35675847, 1325448271, 26066040, 14334096, 33234557, 31239408, 3282859598, 70740986, 1852644804, 20322929, 17915334, 19028953, 23561980, 181572333, 3004231, 28054681, 73443014, 58233603, 264498030, 1209342523, 1209309782, 55220919, 252485168, 18028996, 1117786405, 271054383, 20437286, 15033883, 4196983835, 4035503243, 409713189, 3320478908, 46957344, 66618379, 516394300, 759251, 14173315, 2774643056, 326578323, 4038362244, 423723318, 288309667, 376502929, 173210133, 32959253, 23613479, 171682730, 321970500, 861901045, 350508156, 30016344, 1468951, 2540324664, 1131836773, 38679388, 56505125, 243381107, 382267114, 596261273, 29283877, 2728045564, 392188823, 608433158, 3418642095, 108861466, 289431709, 20453030, 3327969245, 3327558615, 3093459333, 2352729630, 979427412, 14942701, 16222584, 405793882, 3241048183, 2922268330, 355307611, 635480791, 3186959995, 316062886, 840897602, 3138225181, 3236419339, 20490840, 2266263029, 3307248847, 389237385, 3185542572, 2407272794, 382350502, 3132355483, 3313115008, 806987006, 3315412911, 80144576, 3376823356, 415813580, 91214099, 52301263, 112497440, 19292133, 110447195, 26565124, 211170983, 2580499010, 143552619, 15225275, 249203600, 23461858, 3297765312, 2412521293, 87239242, 229334080, 476267668, 1096741675, 930836922, 2542316434, 1514944838, 3374505478, 2840993001, 3384825729, 466994586, 616534299, 768675812, 1213844245, 2269468274, 905363521, 28659242, 3287068453, 3386585295, 2542512710, 636692675, 3384011086, 2368041245, 939295519, 1013641782, 3097496776, 2550279181, 867144060, 3370112998, 125806240, 2193607094, 853324519, 2329626888, 2735717676, 2722755465, 924066169, 2451706273, 2682873942, 55891624, 3366571499, 198133238, 3078761709, 77548797, 264501955, 2784308282, 2290811474, 236738600, 2411718799, 388054933, 1035895740, 3359382249, 73402597, 1677011904, 3351402442, 2685837290, 139539038, 2455601934, 2882064094, 2697054487, 2614808795, 315876919, 434700167, 2156278138, 2156299840, 1317603110, 2588921127, 2922266132, 24926416, 318748412, 324705448, 466803739, 2704774015, 2961352387, 2958165577, 2570595595, 110105639, 1475976716, 2734876895, 3326122330, 2864448931, 705197136, 2448218768, 3315594419, 203411128, 17919972, 374291691, 2982694721, 3310618881, 310298584, 284645262, 267834473, 3138130182, 3232676922, 300946000, 180949358, 308297673, 452526946, 3018817072, 1154238810, 3046880360, 140195719, 236699098, 157140968, 266882531, 2561370233, 742025880, 3158503937, 2485649465, 3192487448, 469865110, 237749522, 2744636896, 1523172960, 2838607558, 2272137519, 3198524082, 1226638020, 2992792006, 849951900, 3020179921, 3104679915, 1449630536, 2677518229, 2463718327, 17951326, 3055989988, 36677833, 54300306, 114480784, 3225712462, 739784130, 872374136, 2500732107, 315655606, 392597879, 2374632571, 417384077, 1629171145, 3214604266, 100130031, 339149210, 2499826304, 2258486002, 216708137, 616609096, 264828637, 2959615211, 2535950709, 474446451, 170304544, 2614276147, 582329133, 2391730465, 2455517274, 2561469130, 1649408461, 2975496784, 1422002485, 1942410572, 77153058, 3033385404, 2935009628, 2329720026, 236095380, 1919067534, 284155407, 7573792, 48028397, 27710854, 16191793, 34395888, 90774609, 133424504, 153474021, 16351833, 19028615, 22948575, 399423906, 213548970, 204999372, 16427380, 40016838, 27726286, 26250338, 16440762, 3002763883, 2733272512, 2546793611, 2885466298, 2798922208, 2908224957, 2909543261, 103550181, 2396248993, 2498150759, 287858728, 2724394506, 281766200, 2584086300, 2909519204, 15111011, 772748041, 333586263, 2551036008, 2833473210, 1620857156, 440912884, 2864031105, 46040692, 72764133, 260004361, 386244525, 2691974152, 2763953419, 2410393752, 2304060894, 289067752, 2859833909, 2430406548, 2720757005, 2823143534, 2878868725, 2871600446, 469113384, 2764229855, 2824723776, 2757496420, 1456600344, 2372868763, 2815674558, 2848714960, 2248215751, 202650120, 2847505815, 28706024, 23375688, 16409683, 24886570, 40908929, 216444984, 268439864, 14920785, 58528137, 2235513770, 2765132257, 2766926720, 2847319563, 2343852490, 14222536, 2878842704, 1319545429, 279037201, 962973876, 181627076, 21812198, 2869848548, 78402214, 2823030933, 488998711, 2508775004, 2675537166, 2793300507, 32688098, 2389950332, 2198291223, 2804160222, 21001534, 1297194625, 2257963957, 63814441, 273715727, 2647951785, 2699452057, 2166953228, 20255162, 1243584445, 1515387007, 2598477241, 2645661109, 617610976, 2721843101, 2762970884, 2603793320, 1615833409, 2322879107, 2381505216, 2735941774, 2735945265, 2687247541, 2752777328, 2616212994, 1908140682, 2838005742, 1384642380, 2830547970, 2333990689, 351053061, 1431218611, 2809950788, 327811311, 2425391182, 933062941, 707956022, 2790236020, 1276232034, 2612109568, 865670023, 1046518340, 2620443541, 2789983689, 2680902014, 325977166, 2672231964, 2614291004, 2763104811, 2693470211, 1423432248, 737310696, 1596163393, 2363185562, 2761368893, 1724782868, 2272097198, 2669428623, 2361823442, 2658306313, 741494346, 62344068, 2244822201, 2595083787, 2753099064, 1643435941, 204466784, 2255512923, 2344820424, 2408141666, 2557792117, 2597670234, 2680954162, 1703809903, 2586526494, 2431016748, 2153664769, 2773909625, 2273728586, 631224179, 1522693519, 2560395815, 2415031152, 2641614727, 2763540742, 2782235432, 2715224337, 349295695, 2601625622, 1902419928, 981648426, 1652469577, 2544959165, 2230292875, 2492061361, 2718708835, 2695001726, 2683428980, 58009101, 2314529407, 2754550955, 2601980384, 2834306220, 1490894810, 215103276, 525969729, 2834991391, 2732770172, 2452248991, 1216035295, 2355360964, 2781733147, 2579835961, 2270669702, 2451753272, 1609986637, 2778321996, 2834613702, 2272226130, 2812013054, 1455618002, 708331164, 2541020824, 2525987275, 1525385448, 2511303857, 2571735925, 1972488169, 2450943343, 2758973380, 2704924411, 2772475220, 2466225942, 712942783, 2334383689, 2607640429, 2727652141, 2834615131, 1939998042, 1970177238, 2515842161, 2284500049, 2471800439, 2450997119, 2749669535, 2388414020, 708123805, 1636745611, 2439054125, 2532503330, 2833374187, 2805094112, 504014063, 55012030, 516898909, 15392391, 71026122, 2762223797, 2776635843, 2758748825, 2825446728, 2372474489, 2822760505, 2781282347, 2832515821, 2830928257, 2161870429, 2689042142, 95112409, 16573941, 32166535, 63737212, 1922861, 2459371, 19709040, 74286565, 2756057991, 1611635503, 2779292860, 2779439777, 209994211, 85452649, 264107729, 2648171307, 2783585424, 2821981321, 2779123660, 2779091253, 2823718777, 2778914309, 2660988652, 2778012191, 2793708318, 438653595, 124365056, 893837521, 2553384523, 2732060290, 2723997579, 2778076090, 711012703, 395398270, 2763616655, 2817838399, 2647904004, 2249223539, 2602137614, 276278626, 2789677356, 2476229352, 2817715351, 741735726, 2395282939, 599230864, 335668451, 62512039, 732186037, 1723280208, 892058658, 2765004522, 2252767257, 2325807193, 2799793242, 734606646, 397901889, 836410514, 315859341, 865077666, 624400312, 626769475, 144206975, 134171362, 534754271, 2421735092, 1671715128, 2483049568, 2296719849, 2767060673, 2610530376, 1887748086, 2372104272, 2733588503, 2321842684, 2808566882, 2811308059, 968316968, 355215255, 2259226320, 503798218, 499256194, 2769487241, 333935241, 2502149962, 431927979, 30892730, 2606243697, 92333376, 16679529, 233183631, 2806572590, 344316738, 313087874, 2412400480, 284277683, 386329471, 286518492, 172966234, 238857042, 268506350, 325089492, 2771303154, 2809952096, 498137311, 2539908270, 2446204417, 2808194438, 1544870454, 637296038, 324654491, 2700478167, 2607215648, 2661799698, 1002455306, 2257278119, 76159921, 2653189726, 2570770026, 732120312, 90416088, 304385587, 194655786, 428552087, 146801215, 1043411214, 583280017, 379934214, 577577436, 273590718, 2494260259, 2387831490, 50037051, 34507480, 196795202, 2317178662, 2337573061, 2448502816, 98036571, 175748673, 250923673, 2768439232, 2334590797, 466092868, 1286631386, 2804783515, 2423298129, 503048477, 2263243513, 2685085408, 1037736211, 182877347, 1927684688, 2767379595, 1870134889, 172046651, 1644191581, 2751857073, 2264937515, 2451248043, 2288520804, 2416895904, 713021048, 2428320544, 2429050491, 2352765158, 2652045176, 2356794624, 2643082144, 337080455, 2764409331, 2614911835, 2261704394, 515634194, 629772199, 347334778, 2544117585, 25365536, 10228272, 15693493, 15846407, 52422878, 23083404, 136678264, 35787166, 27195114, 109303622, 62988756, 144921014, 770120310, 44953111, 24190981, 178111058, 109702885, 136361303, 16193578, 326359913, 2765786199, 2800113187, 2765610274, 496143154, 1554186391, 2764177191, 229689120, 2795312983, 2492267453, 2752232056, 316488821, 316456700, 2764400925, 2763424053, 52242024, 1403023886, 2516614945, 2531853748, 2720966789, 2564000270, 85603854, 311032328, 954959281, 1152279248, 2610569419, 525949931, 18545675, 2598672867, 27466653, 39596022, 2569659374, 2540256963, 89084561, 50687788, 492399548, 37457377, 2384456015, 2175574396, 16149262, 42368820, 17471979, 8283082, 14955908, 155939841, 16407145, 15515919, 30973, 14399483, 28384755, 19039286, 216252758, 31143489, 126084292, 121149217, 105145017, 122480273, 1668525079, 26787673, 1874237444, 1088207396, 382402366, 1402610108, 1048880642, 163530567, 86876958, 217238634, 878393636, 2724904039, 38666510, 317114365, 2276661187, 2278443158, 1651464822, 2277987156, 2584232406, 2705642809, 1198040970, 2387803002, 192748586, 2275034968, 2303705526, 2360044711, 2568067975, 2383874198, 837679814, 2573823433, 969577423, 401506033, 2389323855, 1092070422, 2733736341, 961610965, 2721208506, 21728396, 216201838, 443216748, 64929124, 589214730, 868544850, 2446351568, 2367354238, 58508218, 540291381, 75720181, 323293812, 978908012, 18788558, 2308873477, 169740780, 43289545, 2615925367, 1949322061, 1396698397, 389238190, 101617959, 379408088, 153694176, 2458451887, 27260086, 209708391, 105119490, 586671909, 2733395662, 2583368833, 1691493372, 2654810040, 335003179, 1226691996, 1558893264, 2471587956, 278328390, 1705991035, 2377395678, 2506269336, 1255745882, 2577581046, 451211206, 55592183, 2629502950, 163730859, 363961928, 405728790, 1906234147, 310072711, 21447363]]",1024,"['wtf', 'lol', 'funny', 'beach', 'eno', 'juul', 'sunset']",http://pbs.twimg.com/profile_images/1030582337417998336/vkxcnSqS_normal.jpg,en,None,0,False,2017-11-08 03:45:38,928106211945394177,Holy shit Maggie cracks me up oml I love her!😂❤️ #wtf #lol #funny #beach #eno #juul #sunset https://t.co/tEFePsWJB5,2014-08-03 01:51:17,Instagram- annnaleslie | WHS '19 Charleston | 💛 5•19•17 Faith🌻,485,2732083649,the beach,Anna🌻
1138,"[[1036100582598168576, 98821255, 1447809733, 2264572281, 1020492001219874816, 2466650084, 995979576, 4827334210, 3418281203, 987142641199517697, 2578576522, 3404436340, 3427328320, 3095842156, 3229130369, 1013597224738095104, 238508331, 2317931557, 785623961811886080, 2897862901, 2746459282, 214201922, 890891, 2668984775, 425871040, 789893023249342465, 784419106242125825, 3040804882, 2783630908, 2740977092, 3238873901, 843630912629805059, 924004195388264448, 2937935482, 868315832035799040, 928081743860699138, 3320478908, 926901742045945862, 2284200264, 2236291633, 772272754376704000, 817562679648931842, 3507439096, 22637974, 728385308920848384, 2866121551, 816029511804448769, 898356749811539972, 906497424327364609, 2893405975, 4235695334, 3324993353, 3377522819, 3252981051, 710990553836552192, 490900538, 881552873271820292, 884946123772899329, 742807237446537218, 711323910818631680, 875346293689901056, 869035964282351616, 2906832379, 810943525672144897, 815406050207797248, 2309269939, 774735339780988928, 2614043946, 790413360546414592, 858235405698727936, 4928591013, 1526063280, 4618384473, 855598478923366400, 849084086224396292, 711009034439159809, 4842530898, 1239944892, 1669298911, 2346108350, 2442460658, 4562309417, 834513798245580800, 832996373452750848, 16043308, 4727739015, 701285075753705472, 3176833584, 1471105004, 774363384972054529, 767403830493536256, 4164633617, 434545375, 756238789476020224, 2602216004, 4750638323, 2358700417, 813260250098896896, 796557332452929536, 811766459881914368, 132981804, 78422911, 4041977243, 777563104733437952, 806175243287089152, 2956955949, 756289742979919873, 2275593656, 3300752631, 796465980885135361, 3283379240, 2825674390, 789251743171223552, 4496491907, 2586019608, 791487904132595712, 3022360852, 789883617136685056, 746410215197769728, 788702689341440001, 4324081155, 772976274054668288, 723280345005592577, 3031530691, 2728231805, 2711848509, 1668589020, 779052137582034945, 2966791432, 2811921984, 762844350107693056, 3961127537, 2542215173, 2692766206, 776389677595107328, 2983475285, 2455805712, 2777890120, 2302141494, 4048736062, 774776317543845892, 764268414122725376, 3033409568, 3031541888, 3424363311, 3396937175, 3304312007, 2938842542, 712617481043578880, 2614289436, 35890043, 763981911278571520, 2492105672, 2967992002, 2707329273, 739560717230215168, 2168919525, 3217216724, 2900034023, 707968258054496257, 1176791467, 2764415020, 3388563725, 2910460556, 2254377134, 751435362350854145, 3419148863, 268469701, 3075748198, 2602629937, 3270218808, 3267696492, 762042874447798272, 4244591189, 3006958391, 3432082859, 3054648106, 4882381360, 725531756036808704, 3612954497, 4870537787, 760525974471532544, 2957251852, 2995059888, 721337195232129024, 2384364206, 741074584112369665, 1180920494, 744166695774756864, 2287544678, 743545988950921216, 3907631479, 3013494244, 3354545179, 1122333116, 755600853726289920, 2908171107, 2964963153, 3318024475, 2534316364, 2564241196, 3573689477, 3885496822, 3192723986, 3318260737, 3309331625, 2878800333, 4687365132, 3045693335, 3895036695, 702352255329112064, 754473959597436928, 3346024125, 3350896649, 2784617590, 2727816246, 2782761861, 2700849285, 2789847910, 2595566162, 737009973360615425, 3712977435, 1912245062, 3301918302, 4563688695, 716760343607771136, 2739159714, 1831578492, 1858735118, 1942681070, 3054510430, 3361743171, 2760873822, 3344854024, 3245119504, 3286829126, 3386483139, 2436213507, 2319305320, 1308643704, 2194849944, 23083404, 2895194829, 3227548592, 2943132690]]",245,"['sloppy2nds', 'juul', 'getgo']",http://pbs.twimg.com/profile_images/1036006248616013824/LEzzrJ4v_normal.jpg,en,None,0,False,2017-08-23 00:30:41,900153283326730241,Skokie! Love you man happy birthday!😫❤️🤘🏼 #sloppy2nds #juul #getgo @colin_skok https://t.co/1QHpX1YlzQ,2016-03-14 20:35:53,SIHS,321,709478176418881536,,Jack Whelan
1,"[[878600126780121089, 895294202161930241]]",2,"['tobacco', 'juul', 'dip', 'cigs']",http://pbs.twimg.com/profile_images/931439473342136320/XtKSHMd7_normal.jpg,en,None,1,False,2018-01-16 18:19:28,953330878939267073,HAPPY 18th B-Day Devan Sierra!!! It’s YOUR day (again) 😉 go crazy!!  Love you lots 💘💘 and I hope you have the bestest dayyyy. #tobacco #juul #dip #cigs https://t.co/Fv7EUpnfez,2016-07-03 03:43:12,All tweets about Tobacco,318,749448380263182336,,Tobacco
307,"[[1292376426, 871855815820529666, 91441711, 944835650, 15792387, 74669397, 854406524, 930223086, 19119809, 1024247338838237184, 3327720838, 624056226, 718495181914316801, 701667727, 2847028078, 2715115656, 750751206427860992, 3355313961, 475212144, 763906257409314817, 381648806, 428377986, 95610041, 454313925, 607867793, 923361327883669504, 2923124470, 332637009, 19879313, 14260960, 1668122922, 30855079, 979417285503963138, 28035260, 106753602, 869648083289821185, 22084427, 19279990, 97630019, 20567939, 703808448, 782973815496192000, 14529929, 93069110, 984980023735013376, 2230156520, 21148293, 3100031780, 76646387, 24966423, 773721649971601408, 771510466753409024, 17338082, 16573941, 4206492575, 393852070, 2864525980, 2918018660, 1394399438, 340613443, 922608563461263360, 16638685, 230748033, 129330180, 18018355, 18020081, 577484537, 24749214, 78290363, 26946348, 62513246, 3161564275, 80013913, 166452976, 574168493, 519072324, 22138134, 866953267, 73485035, 16145875, 18173624, 15687962, 3165817215, 304679484, 502135911, 20106852, 94333182, 19697415, 2818322000, 2893511188, 47786101, 580097412, 3063032281, 759251, 602317143, 104969057, 223047786, 788857033890103301, 17266725, 111166747, 25170188, 1339835893, 1775731, 79923701, 485065375, 306180764, 17365848, 207923746, 20255162, 23560015, 145499533, 77694285, 43152482, 24702915, 104974333, 47288005, 254274083, 18222378, 6449282, 125988399, 361351581, 39367703, 28221296, 987791767, 19777398, 612473, 19028953, 23561980, 3303293865, 155620016, 284602545, 24760864, 241382835, 15588657, 39706174, 24278900, 20012204, 742143, 28785486, 22179997, 1117317140, 280701704, 263292498, 265902729, 40270176, 34959923, 30317085, 23612453, 24712054, 546109824, 252158795, 23482952, 259392555, 14353891, 34097876, 18278629, 338084918, 2097571, 17446621, 14939981, 18783665, 2467791, 133880286, 85603854, 25365536, 501389799, 250831586, 133093395, 91390383, 27042513, 443215941, 14677919, 124335068, 1330457336, 25398075, 329746058, 142157505, 117778179, 90420314, 24807616, 251496825, 20609518, 6427882, 288452305, 104640241, 712943629, 26207922, 103087027, 121868180, 3181561, 19397785, 71297990, 92367751, 50771805, 127057567, 121618145, 574809647, 473414472, 148466830, 46627530, 44385628, 94360081, 49573859, 285282053, 138600717, 12101862, 555548903, 238319766, 129400817, 121341102, 287858728, 15279429, 19074134, 15338492, 47459700, 60054156, 30704824, 20177423, 500042487, 52939106, 31239408, 23617610, 23544596, 23006794, 2367911, 19248106, 24124842, 16193578, 336116660, 30364057, 12513472, 16303106, 259379883, 14075928, 41073372, 50374439, 53153263, 22657153, 19571299, 26053643, 75544059, 178864597, 28384755, 18948541, 23151437, 407977463, 17169320, 155659213, 16129920, 27778893, 18228898, 28109359, 18171994, 115485051, 96829836, 49717874, 80952228, 603928782, 34487135, 146151819, 124003770, 173195708, 16492290, 1774391, 19110632, 16365636, 20659839, 16409683, 22940219, 14854462, 25110374, 21278412, 55422319, 16004411, 141450643, 237670274, 111690277, 109713729, 813286, 15830716, 26565946, 266367426, 48100887, 93935921, 188647212, 28638191, 27406401, 23832022, 40908929, 88749392, 14681605, 80700514, 66561957, 19877186, 19058681, 32613163, 39830566, 36098990, 16331010, 22063870, 9051482, 22546772, 111124064, 256573865, 14825399, 130649891, 264261091, 27725199, 55458304, 22847499, 14363353, 30972802, 110203696, 14824849, 20015311, 19562228, 237845487, 75974281, 18131961, 18704659, 357899586, 17454419, 62760327, 595027442, 5695632, 36599071, 21529537, 23084925, 29036076, 36483808, 154605679, 110365072, 72644483, 22720074, 139930250, 29547045, 17560096, 21447363, 95715393, 54951973, 65186457, 277180205, 15164565, 15224867, 14511951, 51241574, 14293310, 428333, 807095, 5402612, 326359913, 46186400, 19148708, 153474021, 136361303, 20322929, 14353392, 30278532, 27083523, 20710809, 77888423, 52551600, 36686415, 62290422, 44039298, 6480682, 54682125, 14506253, 16312576, 15485441, 25589776, 15693493, 2883841, 15846407, 17461978, 17696167, 169686021, 35094637, 50826280, 19330043, 14780915, 31927467, 116362700, 184910040, 27195114, 28706024, 44409004, 119509520, 35787166, 79293791, 3004231, 33990291, 14230524, 24967668, 38531995, 18220175]]",396,"['juul', 'quitsmoking', 'myfavorite']",http://pbs.twimg.com/profile_images/971239357146386432/_79JVl7f_normal.jpg,en,None,0,False,2018-03-07 04:20:18,971239089684041728,Please make Cool Cucumber one of your original pods PLEASEEEEEEE!! It's my favorite!!! @JUULvapor #juul #quitsmoking #myfavorite,2012-06-01 03:29:24,Trying to live life one day at a time.,23,596160066,"New York, New York",Rebecca
