news,prom,userID,user_express,category
0.0,100.0,2891209925,0.0,1
8.333333333333332,0.0,116877145,91.66666666666666,2
0.0,0.0,474493201,100.0,2
0.0,0.0,97970246,100.0,2
0.0,0.0,1290403448,100.0,2
0.0,27.27272727272727,1128197251,72.72727272727273,2
33.33333333333333,0.0,549033867,66.66666666666666,2
33.33333333333333,16.666666666666664,139596213,50.0,2
0.0,40.0,599840606,60.0,2
0.0,0.0,735703502,100.0,2
0.0,100.0,35830238,0.0,1
0.0,66.66666666666666,999473420,33.33333333333333,1
0.0,0.0,1537893348,100.0,2
57.49999999999999,15.0,403004768,27.500000000000004,0
0.0,100.0,2412643318,0.0,1
0.0,100.0,2865136112,0.0,1
0.0,0.0,529858515,100.0,2
0.0,0.0,177252175,100.0,2
0.0,0.0,1621450380,100.0,2
0.0,0.0,34593537,100.0,2
50.0,50.0,3040040012,0.0,0
0.0,0.0,1713386983,100.0,2
0.0,0.0,181265084,100.0,2
0.0,0.0,602231504,100.0,2
50.0,0.0,2342607272,50.0,0
0.0,0.0,2558571000,100.0,2
0.0,50.0,1138018536,50.0,1
0.0,0.0,1144265203,100.0,2
0.0,0.0,1035647070,100.0,2
0.0,0.0,76068875,100.0,2
0.0,0.0,2723796299,100.0,2
100.0,0.0,1102665744,0.0,0
0.0,0.0,15359674,100.0,2
0.0,0.0,272192323,100.0,2
0.0,20.0,1478531461,80.0,2
50.0,0.0,388565205,50.0,0
0.0,0.0,2431026945,100.0,2
0.0,0.0,433708358,100.0,2
0.0,0.0,2975374339,100.0,2
33.33333333333333,0.0,344144418,66.66666666666666,2
0.0,100.0,55533766,0.0,1
50.0,0.0,2749783724,50.0,0
0.0,100.0,297500888,0.0,1
0.0,33.33333333333333,1014140450,66.66666666666666,2
0.0,100.0,560633333,0.0,1
11.11111111111111,11.11111111111111,244728317,77.77777777777779,2
50.0,0.0,195973947,50.0,0
0.0,0.0,6244872,100.0,2
100.0,0.0,3253611043,0.0,0
0.0,0.0,367980538,100.0,2
0.0,50.0,1199332885,50.0,1
0.0,0.0,3308347214,100.0,2
0.0,0.0,3036274323,100.0,2
0.0,0.0,2271760757,100.0,2
0.0,100.0,769722637,0.0,1
100.0,0.0,77316144,0.0,0
0.0,0.0,423114678,100.0,2
50.0,50.0,156395674,0.0,0
0.0,0.0,1424747527,100.0,2
0.0,0.0,2402021276,100.0,2
0.0,50.0,540064379,50.0,1
0.0,100.0,974534389,0.0,1
33.33333333333333,66.66666666666666,563364156,0.0,1
33.33333333333333,0.0,2801149270,66.66666666666666,2
0.0,100.0,1480709936,0.0,1
0.0,0.0,2718180936,100.0,2
0.0,0.0,2764364902,100.0,2
0.0,50.0,323863664,50.0,1
75.0,13.679245283018867,3794670447,11.320754716981133,0
0.0,0.0,782940835,100.0,2
81.64556962025317,9.49367088607595,4289485636,8.860759493670885,0
0.0,0.0,357764361,100.0,2
0.0,0.0,2957895891,100.0,2
100.0,0.0,720996974,0.0,0
100.0,0.0,36681165,0.0,0
0.0,50.0,107221826,50.0,1
50.0,0.0,2353758943,50.0,0
0.0,11.11111111111111,1476271358,88.88888888888889,2
0.0,16.666666666666664,469663327,83.33333333333334,2
0.0,0.0,2754843881,100.0,2
50.0,16.666666666666664,441581348,33.33333333333333,0
53.333333333333336,20.0,3642461540,26.666666666666668,0
50.0,0.0,26258900,50.0,0
58.139534883720934,11.627906976744185,739194785185964033,30.23255813953488,0
20.0,50.0,715236188437614596,30.0,1
25.0,75.0,1576184306,0.0,1
