,userID
0,21569394
1,16870853
2,76068875
3,22788922
4,1102665744
5,151973643
6,2918018660
7,853411141
8,69221928
9,349172989
10,38374327
11,283673953
12,574720566
13,69221928
14,48866427
15,853411141
16,365563447
17,32668095
18,24288307
19,124527558
20,1044202855
21,2826425938
22,2918018660
23,4828183631
24,14263965
25,1959600684
26,217598942
27,329153422
28,329153422
29,1131312048
30,3053923379
31,2918018660
32,329153422
33,2986376347
34,2828895546
35,2937602802
36,329153422
37,2891584780
38,2868079980
39,749038741579141120
40,914898133
41,720998718791622656
42,3024443264
43,57242061
44,1588034659
45,1072429050
46,18811453
47,2230371607
48,1072429050
49,1242713210
50,2764364902
51,773575765694803968
52,774153535
53,2210120054
54,2424896091
55,2289012848
56,2207496917
57,778051861269975040
58,2731794849
59,1870295029
60,1093595864
61,1932322896
62,1004976906
63,1596490327
64,1048195766
65,1832249010
66,1881605982
67,400465712
68,776591376
69,810917747639128064
70,1151845225
71,400465712
72,3973438023
73,2845229372
74,744966016833359872
75,572010038
76,728358944054206464
77,3973438023
78,3226325628
79,3973438023
80,735989441009995776
81,790281312561078272
82,17791273
83,1285016509
84,3196906658
85,837672001
86,2212888776
87,3291107780
88,1950316242
89,833349431982436352
90,3008733475
91,2409560664
92,846461177500618752
93,3639936792
94,1078028359
95,842597397972770816
96,82568621
97,4855026431
98,746012909713694720
99,2865136112
100,322259193
101,1918449097
102,329809404
103,1330608092
104,54236937
105,3160254925
106,27550156
107,2762479215
108,374100307
109,1392902318
110,4131317897
111,322259193
112,334219166
113,302317118
114,2918018660
115,762401862880460800
116,67424128
117,2265692381
118,636767319
119,336747464
120,627022901
121,4859976372
122,1242713210
123,368308528
124,2343297244
125,2483148831
126,1312539739
127,21834914
128,2822586529
129,3129108577
130,2918018660
131,590162214
132,916714728
133,2407396931
134,1613929088
135,1724518488
136,4819976524
137,2547342139
138,2171281398
139,4819976524
140,713632357
141,1726402848
142,1950384332
143,1663551918
144,218331252
145,2287391647
146,2979990319
147,3314038403
148,2994113118
149,1143668628
150,1214762922
151,735703502
152,2376514236
153,2157406328
154,902009725038022656
155,892987383976800256
156,1242713210
157,704420599
158,3086350844
159,3988095260
160,1382284832
161,791901679
162,888508973812502529
163,80409930
164,3071020001
165,898439466200608768
166,2688138019
167,436275489
168,924712693
169,902009725038022656
170,263809009
171,749941323675758593
172,1325161927
173,2341669241
174,168995860
175,212080180
176,3504904217
177,888508973812502529
178,384621252
179,3146368545
180,330470649
181,1072414538
182,2809149531
183,775206175067340800
184,2708291319
185,2730413901
186,3227771797
187,2225797760
188,2994113118
189,202215735
190,2265692381
191,393074600
192,1918449097
193,310016426
194,305965243
195,2918018660
196,773052222909222912
197,1726402848
198,2269590809
199,761399919965896704
200,772652060546260992
201,2291726711
202,75653018
203,1325161927
204,2608738038
205,2197943376
206,838792534818185217
207,2868079980
208,854000327200309252
209,774042734923485184
210,854000327200309252
211,774042734923485184
212,829099845961003009
213,2262997261
214,3352072672
215,1880527339
216,555997392
217,2724900802
218,2918018660
219,826269571497807872
220,869653103930429440
221,711768518178557952
222,82775952
223,3220662204
224,295873487
225,3922284153
226,311728606
227,2266199337
228,711029203
229,3125184862
230,3242470741
231,863459407
232,711602571
233,1491597596
234,746603480
235,922880753502846977
236,302734788
237,3434304875
238,2920023574
239,22873437
240,1420901798
241,50660534
242,18032879
243,843524406882263040
244,434530346
245,1242713210
246,2806223566
247,212080180
248,3252860701
249,2918018660
250,814313726513938432
251,4922369874
252,50660534
253,3922284153
254,492672655
255,1918449097
256,271551073
257,773193361385807872
258,348880104
259,2398205121
260,32125966
261,826269571497807872
262,364963104
263,2918018660
264,2936590768
265,3377108002
266,2147626437
267,572274503
268,260902911
269,4100803103
270,829210458502623234
271,791901679
272,2989069002
273,536328682
274,902501163236560898
275,391673763
276,419990334
277,441981782
278,2918018660
279,60448573
280,3333883403
281,1951622461
282,885601824769691649
283,1951622461
284,302317118
285,895848186148933632
286,42221325
287,925455176110084097
288,709462704113586177
289,19356250
290,364963104
291,900351062976077824
292,2732660303
293,2255801357
294,808678315787743232
295,874329320596131844
296,924796634990612480
297,327424377
298,82684605
299,854000327200309252
300,378377589
301,936118839875686401
302,3105313186
303,3582568037
304,2577102728
305,704100443857752065
306,80123484
307,902501163236560898
308,1067381852
309,4647661037
310,1287018770
311,513851656
312,448389219
313,141193180
314,375729496
315,872623895274287105
316,2897898373
317,3027868209
318,4063896015
