,userID
0,3221088973
1,735553443620900864
2,943937965826420737
3,1254666378
4,907292356952686592
5,825519340678152194
6,3521312066
7,925071745115217920
8,2833817773
9,2891742419
10,887485385395142657
11,2688633108
12,2759199170
13,2940489293
14,381769607
15,357247709
16,1720212996
17,339469576
18,774467179920101376
19,2919941590
20,633316175
21,2856217495
22,2242142703
23,2485637461
24,3963647120
25,919449798
26,2392013953
27,3085781618
28,2499941137
29,4176912672
30,2453553068
31,2344394034
32,396264814
33,1326394399
34,726800661342486528
35,4921051221
36,4704495740
37,2205734966
38,3103415871
39,3094675310
40,808196979230580736
41,613141239
42,941716020
43,71603803
44,603948134
45,732711206910189569
46,1064442696
47,2159578749
48,3251209878
49,2654247226
50,2505465204
51,770157354457309188
52,750582456638640128
53,1452943087
54,1229642922
55,3248143908
56,2944875305
57,1058724086
58,569713155
59,2262116858
60,1832555936
61,1512384559
62,3075687858
63,1289820650
64,3219510074
65,784835714856816640
66,1260799656
67,2871841413
68,2348120371
69,737690105117188096
70,749623036320636928
71,277791130
72,620421228
73,3288729622
74,752403670675836928
75,937439127867232256
76,2657420124
77,33725929
78,774720363158577152
79,902252236839014400
80,3013952335
81,861732985690873858
82,707374261132877824
83,730017247503130628
84,706648218172522496
85,1473117955
86,1051461846
87,930278756333207552
88,3242701460
89,805705721392173056
90,636409244
91,2271591982
92,2790821455
93,2583323562
94,777326411673575424
95,2895010123
96,738298807
97,748257995390234624
98,2488461566
99,2471790679
100,777124700065452032
101,1355580902
102,1674848622
103,1276507512
104,2362032062
105,2438992351
106,2956519034
107,3117336515
108,1113186001
109,1619056658
110,2488154612
111,2266548769
112,4759223702
113,3082976628
114,740715643037585408
115,581006065
116,969516810
117,522769948
118,904251159199789057
119,2686123077
120,2681022301
121,1328149824
122,1573312434
123,2949930251
124,701483853831995392
125,2845304668
126,4777323223
127,3050077277
128,2997193604
129,919715172629078016
130,2547880266
131,1672154138
132,1055706685
133,2958197138
134,876087670061101061
135,762969278639255552
136,777164364
137,1062660440
138,2670191517
139,955134491470725122
140,921418603404066817
141,527777651
142,2429293134
143,891036409464750084
144,3137208911
145,745164003639341056
146,904579166
147,2671993094
148,728669544
149,490720164
150,3605423596
151,744248954162806784
152,232916963
153,1046393796
154,896260218178248704
155,3045095019
156,1639607695
157,760668846923579392
158,3247307730
159,803339907179675648
160,2264969012
161,2322934462
162,787796069291741184
163,2809253128
164,4628204832
165,4319433253
166,3151835496
167,1084715125
168,855598169136128004
169,761049329188548612
170,1273046065
171,1249912016
172,752035983005085698
173,2802306114
174,2950835447
175,2680411202
176,2848115002
177,821220393214242816
178,2752143826
179,1328197267
180,847972100208029696
181,1869350984
182,4297287972
183,799058280639250433
184,3035296022
185,2384229385
186,881906951449432065
187,308810892
188,881372512021602307
189,2946150193
190,461524982
191,2961743478
192,1713386983
193,2374545913
194,3232053552
195,832210424
196,129597939
197,813175476403470336
198,2760796142
199,1963774303
200,809934925163991040
201,800511530210967553
202,3301957067
203,1740453246
204,1263232327
205,2918005754
206,3377534596
207,2427600384
208,2331083102
209,1556621106
210,2222118830
211,1081331394
212,4219000873
213,1557396157
214,704149767148822528
215,2845473578
216,814276524
217,1679955955
218,4517776174
219,2263659882
220,2347748450
221,869236692154290176
222,3619576933
223,728800296873267200
224,768310705
225,762086362065403904
226,379422051
227,1535119020
228,465121321
229,3024870583
230,4326212420
231,3111960800
232,2588401459
233,3279957368
234,949104537213714432
235,2974106608
236,716149777
237,3253952942
238,4556172145
239,3420695489
240,1315551662
241,3249209879
242,4390150938
243,2782650684
244,4006784954
245,1598888400
246,619495186
247,978133279474765824
248,859245303483858953
249,3168121988
250,760029241018753024
251,950893421883002881
252,2466520568
253,2789182525
254,2890451964
255,717238743426539521
256,1195389110
257,785027673806417920
258,593139631
259,2859338310
260,489979379
261,388426019
262,813485228396335104
263,2292688713
264,1476271358
265,1155925579
266,4773984871
267,370367276
268,4818189221
269,788855091310661632
270,827347656074723328
271,924282522351087616
272,714328551562940417
273,2547391136
274,297159787
275,809410656
276,356276874
277,849393465561686017
278,2272196867
279,3120781699
280,2193971647
281,859592217291218944
282,2664985425
283,1235149585
284,315531823
285,366816939
286,3296839490
287,788155315
288,1830252486
289,953866266
290,2774830448
291,1083449893
292,2857750661
293,1957680331
294,3095717225
295,1692468506
296,2779010688
297,934564174692339713
298,795393442775973889
299,732706537462980608
300,2471772205
301,3310853283
302,739150372573306880
303,926597251
304,2766639707
305,337452000
306,2413208922
307,2958871916
308,2772285113
309,4774967512
310,811808494731010049
311,612585836
312,724722640510922752
313,751575541937868800
314,800953917035126788
315,2571852044
316,734181197090332672
317,787785538661220353
318,705594897085161473
319,943329093323509760
320,2374057164
321,825912317942624258
322,2695793560
323,2791134121
324,952341638617096197
325,711077627679756288
326,969561023974952960
327,827554906391322626
328,793112998130974721
329,2769858916
330,4716749911
331,945163844254658562
332,4471846994
333,973132214
334,1035654218
335,3127593057
336,969745238
337,1113318511
338,620265020
339,2259423871
340,318754063
341,1727054803
342,828396331332993025
343,732705215158341632
344,4885129702
345,3064971065
346,988994090435076096
347,911652174865817600
348,780619558558142466
349,796139460
350,2878473359
