,news,prom,total,userID,user_express,category
169,24,14,64,2353728925,26,2
170,9,8,104,53977602,87,2
171,5,1,118,2285369892,112,2
172,3,2,34,2410201324,29,2
173,227,170,825,172599724,428,2
174,8,8,42,266853965,26,2
175,6,2,17,619148852,9,2
176,3,2,10,33657166,5,2
177,1,3,18,43425975,14,2
178,3,3,105,226828258,99,2
179,9,18,76,153287840,49,2
180,4,6,408,2207841679,398,2
181,19,12,72,111670141,41,2
182,8,4,30,574043737,18,2
183,0,0,2,1497851137,2,2
184,16,21,95,2350606446,58,2
185,0,0,6,572081191,6,2
186,91,120,574,33729249,363,2
187,14,17,58,403908693,27,2
188,2,2,7,61241883,3,2
189,59,12,217,61539626,146,2
190,6,4,20,312149882,10,2
191,1,3,8,42945649,4,2
192,1,0,2,1633205804,1,0
193,0,0,1,1431171302,1,2
194,14,14,53,90946161,25,2
195,1,0,4,151028804,3,2
196,0,1,2,2514442243,1,1
197,0,3,9,15247690,6,2
198,8,11,144,34262462,125,2
199,0,1,2,109370777,1,1
200,2,4,10,1077479299,4,1
201,0,0,3,75048781,3,2
202,1,3,15,131901537,11,2
203,3,2,23,733626025,18,2
204,11,12,55,368984766,32,2
205,2,7,22,150633655,13,2
206,5,6,20,143397820,9,2
207,83,122,540,29897850,335,2
208,1,1,10,1461649975,8,2
209,1,0,6,2725177532,5,2
210,10,6,35,271309844,19,2
211,0,1,3,221509050,2,2
212,0,1,4,329917681,3,2
213,4,11,45,2568173343,30,2
214,2,3,5,47797572,0,1
215,8,2,16,2969577048,6,0
216,6,6,36,957908006,24,2
217,15,17,64,2322662927,32,2
218,0,2,5,21765964,3,2
219,11,15,75,85030646,49,2
220,29,13,120,2183520866,78,2
221,3,11,34,18085781,20,2
222,2,2,5,36758385,1,0
223,5,0,12,14408989,7,2
224,0,0,2,1265381510,2,2
225,0,2,4,2871004095,2,1
226,15,13,61,213313600,33,2
227,0,3,13,58894431,10,2
228,15,20,73,531131839,38,2
229,21,10,73,32411068,42,2
230,5,8,23,570067636,10,2
231,5,12,58,2211198111,41,2
232,10,12,67,2647435753,45,2
233,3,6,17,256907743,8,2
234,0,0,2,2431454727,2,2
235,3,2,19,280661905,14,2
236,1,1,5,16371691,3,2
237,2,4,48,311728606,42,2
238,3,5,36,399352443,28,2
239,25,26,82,95744442,31,2
240,0,0,13,12663042,13,2
241,13,9,48,324780470,26,2
242,2,0,6,331304068,4,2
243,13,14,86,17203795,59,2
244,8,6,34,234453616,20,2
245,4,11,32,194294772,17,2
246,112,73,305,2333161939,120,2
247,0,0,4,2426746622,4,2
248,6,4,43,26703075,33,2
249,21,20,164,2932852613,123,2
250,19,8,65,2383389308,38,2
251,0,0,13,634369092,13,2
252,1,1,10,1029309806,8,2
253,9,12,43,2922316422,22,2
254,1,1,8,244536412,6,2
255,6,4,22,40854900,12,2
256,3,3,9,523728818,3,0
257,0,2,9,1420157628,7,2
258,0,0,2,18276698,2,2
259,16,13,53,191098781,24,2
260,5,3,23,17174257,15,2
261,29,7,95,12524522,59,2
262,12,20,66,2827313931,34,2
263,0,4,12,712206648,8,2
264,15,7,85,16657699,63,2
265,61,2,226,2178204114,163,2
266,7,0,28,115754870,21,2
267,7,10,34,2227643323,17,2
268,0,1,2,2859618251,1,1
269,5,8,22,260338554,9,2
270,0,1,2,440460960,1,1
271,1,2,7,15391102,4,2
272,0,1,7,51762952,6,2
273,14,9,172,3041827603,149,2
274,1,1,17,312729744,15,2
275,2,1,10,269544696,7,2
276,32,15,83,606508957,36,2
277,0,3,6,250764252,3,1
278,6,6,27,37546388,15,2
279,18,2,44,2462296142,24,2
280,2,3,16,3053923379,11,2
281,2,4,11,1966476036,5,2
282,36,12,191,2983547799,143,2
283,2,8,31,1635738186,21,2
284,4,2,18,42154752,12,2
285,9,8,42,17875120,25,2
286,0,0,3,18163032,3,2
287,0,1,2,2655556656,1,1
288,39,44,260,2227102081,177,2
289,29,52,201,157067455,120,2
290,4,4,13,20082486,5,2
291,0,0,1,70041002,1,2
292,17,9,59,3058301888,33,2
293,8,1,19,18727106,10,2
294,1,3,7,20897050,3,1
295,0,7,17,83879285,10,2
296,2,3,7,2812013167,2,1
297,6,4,14,1856245177,4,0
298,0,0,2,24331426,2,2
299,40,64,295,540905343,191,2
300,3,1,27,1026512202,23,2
301,0,4,18,3014868055,14,2
302,2,4,12,950146442,6,2
303,3,8,32,276962316,21,2
304,2,0,12,815690828,10,2
305,3,6,15,21338979,6,1
306,3,1,11,131687768,7,2
307,17,7,92,18149465,68,2
308,2,3,21,2513898306,16,2
309,2,1,4,32839493,1,0
310,0,3,5,364701704,2,1
311,59,5,233,70752796,169,2
312,1,4,8,865200110,3,1
313,1,0,36,280807405,35,2
314,3,5,17,362021609,9,2
315,12,6,50,363321854,32,2
316,178,148,2309,3084112796,1983,2
317,16,19,72,1662485388,37,2
318,11,5,52,358142191,36,2
319,7,6,51,478786305,38,2
320,11,6,31,2194151990,14,2
321,2,5,26,94654890,19,2
322,1,0,3,28187198,2,2
323,19,30,148,2412689955,99,2
324,0,0,3,2696041856,3,2
325,33,10,101,15149899,58,2
326,2,4,14,31935259,8,2
327,6,1,12,20369555,5,0
328,0,2,12,2223940141,10,2
329,7,2,28,260011059,19,2
330,3,0,15,1726319492,12,2
331,7,12,38,39704326,19,2
332,5,1,26,25325260,20,2
333,23,41,147,2770422091,83,2
334,0,0,1,2395231544,1,2
335,5,0,15,21124751,10,2
336,2,3,19,17130899,14,2
337,1,0,5,28058972,4,2
338,0,1,7,2614406190,6,2
339,0,1,3,165424845,2,2
340,12,11,59,546279677,36,2
341,1,0,3,3100402278,2,2
342,1,1,5,43946644,3,2
343,9,12,52,348006983,31,2
344,5,3,12,25178776,4,0
345,4,5,14,2806223566,5,1
346,0,1,3,2804082994,2,2
347,17,16,136,1448340336,103,2
348,6,9,25,89616493,10,2
349,0,1,12,22447078,11,2
350,1,2,16,1514647178,13,2
351,1,1,2,3063534262,0,0
352,0,3,9,2968028974,6,2
353,0,0,1,65438848,1,2
354,0,0,2,2890011475,2,2
355,0,1,14,28104354,13,2
356,13,37,178,92677101,128,2
357,1,10,36,115489670,25,2
358,1,0,7,618508140,6,2
359,3,8,44,1697512591,33,2
360,1,2,9,5654932,6,2
361,11,2,52,3089999993,39,2
362,1,0,7,516890141,6,2
363,27,50,302,2284124880,225,2
364,26,46,308,1093595864,236,2
365,4,8,32,15480029,20,2
366,1,0,18,286961881,17,2
367,1,3,14,2602407066,10,2
368,37,40,285,3119801885,208,2
369,6,4,24,2825602188,14,2
370,2,2,9,1197589939,5,2
371,4,3,14,41399487,7,2
372,2,1,5,62905050,2,0
373,2,0,14,80953698,12,2
374,0,0,10,393478575,10,2
375,2,8,16,2421121570,6,1
376,3,2,25,157011694,20,2
377,0,1,10,1950051259,9,2
378,14,8,128,16102208,106,2
379,1,0,5,632296843,4,2
380,10,14,59,2201782562,35,2
381,0,0,5,17053535,5,2
382,1,1,4,293068935,2,2
383,3,1,5,581324377,1,0
384,0,1,5,3006074866,4,2
385,1,1,12,106447900,10,2
386,41,28,281,2533219777,212,2
387,1,2,22,87231951,19,2
388,0,0,7,24288307,7,2
389,4,0,18,231187418,14,2
390,1,5,12,146099829,6,2
391,3,2,15,54996514,10,2
392,7,14,45,397428044,24,2
393,17,36,159,883663182,106,2
394,4,1,12,20587567,7,2
395,5,0,22,24200759,17,2
396,2,0,7,3140551080,5,2
397,4,6,18,1408382148,8,2
398,1,0,2,1912051483,1,0
399,3,0,6,138580724,3,0
400,4,0,31,81040137,27,2
401,2,1,28,280803456,25,2
402,5,1,37,280794101,31,2
