,tweetId,userID,tweetText,parentID,favourites_count,userLocation,userName,userDescription,userCreatedAt,imageurl,userFollowersCount,friendsCount,friendList,retweetCount,retweeted,lang
0,1046438879874732032,2379423330,Soo many people I know smoke #Juul I'm not surprised one bit the company is worth $15 billion. https://t.co/mCzp61yt3A,None,69,"Madison, WI",Jackson Danbeck,"News/Digital Content Producer at @nbc15_madison. Graduate of @DePaulU. Gets funky w/ news, politics, Internet, travel.",2014-03-08 23:08:53,http://pbs.twimg.com/profile_images/1004567201456812032/-WWKq9At_normal.jpg,63,260,None,0,False,en
1,1046336628845924352,530849633,Well...                     #fortnite #pubg #fortnitehentai #lamp #dankmemes #juul #roblox #minecraft #donaldtrump… https://t.co/kU7hkINDLh,None,942,,Big D,give a fuck what a bitch nigga say,2012-03-20 02:37:48,http://pbs.twimg.com/profile_images/1046573457176051712/5fzQk2U__normal.jpg,89,199,None,0,False,en
2,1046577170561282049,1008505152654004224,Check out Juul100% Authentic Limited Edition Blue Starter Kit + 3 Cool Cucumber Pods https://t.co/8jjNx9ktuv @eBay #Juul,None,5,"Kingston, NY",The Yetaay,"Wrestling and MMA nerd by day, Horror Fanboy by night.",2018-06-18 00:22:20,http://pbs.twimg.com/profile_images/1008505565037940739/p9Y6m6Ft_normal.jpg,3,8,None,0,False,en
3,1046459228242792448,708335155983753216,"A Big THANK YOU to our new MOONRAKER Sponsor, @JUULvapor for our 8th Annual 007 Black Tie, Oct. 27th at the… https://t.co/dAs4Mnf2OH",None,243,"Reston, VA",007 Benefit LTD,"We are a non-profit 501(c)(3) who honor our Wounded Warriors & Military Heroes, thru our  007 Black Tie Gala & Armed Forces Veterans organizations. #007Benefit",2016-03-11 16:53:56,http://pbs.twimg.com/profile_images/890669718784356352/WQzWqdVb_normal.jpg,31,62,None,0,False,en
4,1046526347236052993,2372104111,The developing teen brain is highly sensitive to substances.  Nicotine is highly addictive and has many negative im… https://t.co/nEywzocjP5,None,1733,"Kosciusko County, Indiana",KCTobaccoFree,Our mission is to reduce tobacco usage in Kosciusko County residents.,2014-03-04 15:56:22,http://pbs.twimg.com/profile_images/725317394416148480/7W6cuXVE_normal.jpg,439,966,None,0,False,en
5,1046514618607292418,789968856450301952,#Juul Starter Kit #Giveaway! Win a #vape for a smoker who needs to quit! https://t.co/DQS0heMAT6,None,5493,United States,Mstr,"Pansexual Atheist, Democratic Socialist, Vocal Iconoclast 🌹",2016-10-22 23:17:07,http://pbs.twimg.com/profile_images/789970016749903872/nMYztcyK_normal.jpg,81,790,None,0,False,en
6,1046406384219238400,28912613,RT @Educhatter: Vaping in Schools: Looks like the Detroit Free Press @freep is on the case. It's exploded since 2016 and now #Juul is more…,None,2548,,Kyle Valanne,You don't need a weatherman to know which way the wind blows - Bob Dylan,2009-04-05 01:26:36,http://pbs.twimg.com/profile_images/2039212299/laugh-dog_normal.jpg,380,158,None,1,False,en
7,1046437952497180673,1020359686854328321,STILL IN STOCK! VooPoo MOJO Starter Kit With UFORCE Tank https://t.co/6wVH6mESSx #voopoo #juul #vapenation… https://t.co/EUL7sH1Q7e,None,1113,"Inglewood, CA",➖,Must be of legal smoking age to follow,2018-07-20 17:28:01,http://pbs.twimg.com/profile_images/1026331695593607168/Z49_MREu_normal.jpg,74,290,None,0,False,en
8,1046290770758529025,914033623925264384,"CBD battery， welcome OEM/ODM.
Message me who want to distribute and want to know price.

#cbdbattery#cbdcartridge#m… https://t.co/wdkqLe1ROI",None,46,"shenzhen, China",Serisvape,"Serisvape, @serisvape focus on RDA, RTA, RDTA, TANK, ATOMIZER, MOD, KIT AND ACCESSORIES.",2017-09-30 07:46:12,http://pbs.twimg.com/profile_images/928111621435678720/rJCsEBDA_normal.jpg,660,2453,None,0,False,en
9,1046312982148501504,1036313946645561345,"Companies Millennials are legally challenged daily, weekly, monthly in running / working for / using / operating:… https://t.co/jKAoXRl5H7",None,2073,Canada and USA,acap,"🇨🇦🙏🏽🇺🇸 RT=/= Endorsement or Agreement Necessarily. Some Things Need to Be Heard, Said, Read, Debated, Thought About, Seen.",2018-09-02 18:04:33,http://pbs.twimg.com/profile_images/1036316412816576514/JvjIBfk3_normal.jpg,39,235,None,0,False,en
