,tweetID,url,type,title,location,language
0,977360935852675072,http://twitter.com/kelsey_walkerrr/status/977360935852675072,Twitter,,"Morgantown, WV, USA",en
1,893321053199577088,http://twitter.com/parkerreiss23/status/893321053199577088,Twitter,,,en
2,1001791428543111168,http://twitter.com/CGOnSocial/status/1001791428543111168,Twitter,,"Washington, DC, DC, USA",en
3,1002517496765845505,http://twitter.com/_lindsay02/status/1002517496765845505,Twitter,,,en
4,892461800591171584,http://twitter.com/XJeremmyX/status/892461800591171584,Twitter,,"New Haven, CT, USA",en
5,966508647940542464,http://twitter.com/TssVapeApp/status/966508647940542464,Twitter,,USA,en
6,996962516658896897,http://twitter.com/heartIings/status/996962516658896897,Twitter,,,en
7,925925391986020352,http://twitter.com/whdyke/status/925925391986020352,Twitter,,,en
8,1002492212721192960,http://twitter.com/hanmadsen/status/1002492212721192960,Twitter,,,en
9,1019848076339613696,http://twitter.com/JUULvapourUK/status/1019848076339613696,Twitter,,GBR,en
10,1017511691393744896,http://twitter.com/GkVapors/status/1017511691393744896,Twitter,,"AZ, USA",en
11,1004768931293351937,http://twitter.com/Jademckenzie07/status/1004768931293351937,Twitter,,"Jacksonville, FL, USA",en
12,1006522805578543104,http://twitter.com/MTH_Pitt/status/1006522805578543104,Twitter,,"Pittsburgh, PA, USA",en
13,981904643046461440,http://twitter.com/grusso20/status/981904643046461440,Twitter,,,en
14,1001624948174188544,http://twitter.com/sistrunk_sandra/status/1001624948174188544,Twitter,,,en
15,905183291036364800,http://twitter.com/KaylaKorol/status/905183291036364800,Twitter,,,en
16,997023040134316032,http://twitter.com/dhb_works/status/997023040134316032,Twitter,,USA,en
17,901060379731689474,http://twitter.com/Mia_Cats1/status/901060379731689474,Twitter,,,en
18,971239089684041728,http://twitter.com/Becky_O27/status/971239089684041728,Twitter,,"New York, NY, USA",en
19,935790406285000704,http://twitter.com/KnowYourLeakGuy/status/935790406285000704,Twitter,,,en
20,1028152878383419392,http://twitter.com/darklyspectre/status/1028152878383419392,Twitter,,,en
21,1042005332099301381,http://twitter.com/JUULvapourUK/status/1042005332099301381,Twitter,,GBR,en
22,1013943572222050306,http://twitter.com/_lanied_/status/1013943572222050306,Twitter,,,en
23,893321307949072388,http://twitter.com/ryanfenton33/status/893321307949072388,Twitter,,"Cleveland, OH, USA",en
24,1002320541250965506,http://twitter.com/baird_bananas/status/1002320541250965506,Twitter,,"Birmingham, West Midlands, GBR",en
25,1004768390446305282,http://twitter.com/jchec_/status/1004768390446305282,Twitter,,,en
26,1006523181707022336,http://twitter.com/social_surveys/status/1006523181707022336,Twitter,,"New York, NY, USA",en
27,1001569518488047616,http://twitter.com/KHNews/status/1001569518488047616,Twitter,,"Washington, DC, DC, USA",en
28,1013923020166098945,http://twitter.com/HozayNigriti/status/1013923020166098945,Twitter,,USA,en
29,887166851263889408,http://twitter.com/_traecarlton/status/887166851263889408,Twitter,,"Chattanooga, TN, USA",en
30,907758180691836928,http://twitter.com/lilly_des/status/907758180691836928,Twitter,,"Cleveland, OH, USA",en
31,981839272058634240,http://twitter.com/Missspe/status/981839272058634240,Twitter,,NLD,en
32,904427020423229440,http://twitter.com/rywoidke/status/904427020423229440,Twitter,,,en
33,1001568228911464448,http://twitter.com/CalHealthline/status/1001568228911464448,Twitter,,"CA, USA",en
34,894587187555119105,http://twitter.com/zach_carothers/status/894587187555119105,Twitter,,,en
35,1044234651513094144,http://twitter.com/KimberChaos/status/1044234651513094144,Twitter,,,en
36,1042482237764186112,http://twitter.com/OmahaBuckys/status/1042482237764186112,Twitter,,USA,en
37,1041721194330947584,http://twitter.com/romsique/status/1041721194330947584,Twitter,,,en
38,896403970381316096,http://twitter.com/TKatz_/status/896403970381316096,Twitter,,,en
39,1024128874500763648,http://twitter.com/CPGinsights/status/1024128874500763648,Twitter,,USA,en
40,1040016187365748740,http://twitter.com/BoiiSpoopy/status/1040016187365748740,Twitter,,,en
41,1042483497150148608,http://twitter.com/StLouisBuckys/status/1042483497150148608,Twitter,,"MO, USA",en
